Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
-0.8407485255624811,-1.1433188976830833,-1.3065981379637834,-0.6311530373331616,-1.5650525141146288,-2.1857203863601837,-0.8414505934985693,-1.0633405968339718,0.28908743915776014,0.3676134312154564,1.4238670661281896,1.8391164037653775,0.6807863847544043,2.4021728722826587,1.9257234678858224,0.8383710266352026,SEKER
-0.8291876420787339,-1.0139238817823666,-1.395911107325404,-0.4344445802595487,-1.9697843776922956,-3.686039528766285,-0.8261015395624932,-1.0442167398087174,0.6974768199974984,-0.4629065812906649,0.23105403784939152,2.4954492909406363,0.3679669031751516,3.100893140390869,2.6897016239724634,0.7711384173246822,SEKER
-0.8071571679474633,-1.078829060169756,-1.2523566062451976,-0.5857346149149704,-1.5142913231289543,-2.045336076041442,-0.8087037059981882,-1.008083988553424,0.5781952220476548,0.5184168710637492,1.2528649442962683,1.764842745500433,0.6031288929621326,2.235091468551016,1.8413557581904976,0.9167551409408153,SEKER
-0.7857405460365685,-0.9772152153173674,-1.2788253123569326,-0.4392902822489578,-1.7416182571340024,-2.742210715991933,-0.773975211972143,-0.9733368893723127,0.6712596186930714,-2.241767087000031,0.5150491746569922,2.081715493169961,0.4017178066452357,2.5150747386737087,2.204249955852668,-0.1979854442733906,SEKER
-0.7812389630871448,-1.097384063712197,-1.3804709103677324,-0.2666633640320595,-2.117992634136356,-4.535028289862106,-0.7842862832158528,-0.9660797446049022,0.47602028228769444,0.8047724367414382,1.8749924027715845,2.7653303182259847,0.11826828524966443,3.2709825046897154,3.013462211792454,0.9396398850692723,SEKER
-0.7764986598297972,-1.0283488103411396,-1.2554558035620584,-0.4616689574149459,-1.6709617828985173,-2.505416512986125,-0.7781399443311658,-0.9584549085429283,0.5287955197506589,0.5079087399209417,1.1856968637297158,2.0071280028475913,0.4046757533997164,2.411385835823859,2.118134434552928,0.9556081286558189,SEKER
-0.7697462854056615,-0.8645178359042895,-1.2730819304021221,-0.40543243790881156,-1.7694681774841954,-2.8415394389766853,-0.7657129203566623,-0.9476237884913115,0.2580997495589763,-0.6569394599352874,-0.33942780122531974,2.1634626941325203,0.32030550464875224,2.561150142360396,2.299123419854343,0.9127696733270951,SEKER
-0.7683139635581177,-1.0526159175898049,-1.2503654389041507,-0.4343826609871656,-1.693162811336578,-2.5776036762613597,-0.7698440661644027,-0.9453308055293428,0.42679468401742654,0.47723871405941304,1.5764623028303262,2.0355578572562973,0.36840417176180534,2.420627054166891,2.1509078437945726,0.7514943558498007,SEKER
-0.762652881970206,-1.0248300797900836,-1.2440941867268502,-0.4250440550992127,-1.6921023896861696,-2.5741111976804394,-0.7632275155617616,-0.9362834684011884,0.4447160070279685,0.2774393394232034,1.3602335813679056,2.0384439761572892,0.35045777172774034,2.4093228769194925,2.154238385180266,0.8908392616356567,SEKER
-0.7575715497015383,-1.0423163972633038,-1.2009897070837323,-0.4752943585992091,-1.5502858815280067,-2.144088811955834,-0.760674937664296,-0.9281834847436048,0.6916638568342359,0.7868586766503465,1.62970673353727,1.819147177451797,0.42684748943355644,2.168475361389999,1.9029986356041892,0.9156111681800855,SEKER
